I/O,Concurrency,Database,Network,GUI,Security,Collection,Class,Method,Arraylist,String,HashMap,Scanner,Lock
0,0,0,2,0,0,0,4,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,1,0,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,3,0,1,0
0,0,0,2,0,0,0,4,2,0,3,0,0,0
0,0,0,2,0,0,0,1,2,0,1,0,0,0
0,0,0,2,0,0,0,10,1,0,2,0,0,0
0,0,0,2,0,0,0,11,1,2,8,1,0,0
0,0,0,3,0,0,2,23,40,4,7,0,0,0
0,0,0,2,0,0,0,12,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,25,7,0,2,0,0,10
0,0,0,3,0,0,0,10,0,1,7,1,0,0
0,0,0,2,0,0,0,12,1,0,0,0,0,0
0,0,0,2,0,0,0,4,2,0,2,0,0,0
0,0,0,2,0,0,0,3,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,4,4,0,0
0,0,0,2,0,0,0,10,0,1,13,0,0,0
0,0,0,3,1,0,0,8,1,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,5,0
0,0,0,2,0,3,0,0,3,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,8,2,0,0
0,0,0,2,0,1,4,9,11,6,8,1,0,22
0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,2,2,0,0,0,1,0,11,5,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,2,3,0,0,0,1,0,0,0,0,0,3
0,0,0,3,0,0,0,3,1,0,6,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,1,0,8,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,4,9,0,0,0,0,0
0,0,0,3,0,0,0,15,1,0,13,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,1,2,0,0,0,0,5
0,0,0,2,0,0,0,1,0,0,1,2,0,0
0,0,0,3,0,0,0,6,0,0,5,0,0,1
0,0,0,3,0,0,0,8,8,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,4,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,2,26,0,12,1,0,0
0,0,0,2,0,2,0,4,1,0,0,0,0,0
0,0,0,2,0,18,0,5,0,0,2,0,0,0
0,0,0,2,0,21,0,7,8,0,5,0,0,0
0,0,0,2,0,0,0,4,1,2,2,2,0,0
0,0,0,2,0,0,0,1,1,0,2,0,0,0
0,0,0,2,1,0,0,0,0,1,1,2,0,0
0,0,0,2,0,0,0,4,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,1,0,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,3,0,1,0
0,0,0,2,0,0,0,4,2,0,3,0,0,0
0,0,0,2,0,0,0,1,2,0,1,0,0,0
0,0,0,2,0,0,0,10,1,0,2,0,0,0
0,0,0,2,0,0,0,11,1,2,8,1,0,0
0,0,0,3,0,0,2,23,40,4,7,0,0,0
0,0,0,2,0,0,0,12,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,25,7,0,2,0,0,10
0,0,0,3,0,0,0,10,0,1,7,1,0,0
0,0,0,2,0,0,0,12,1,0,0,0,0,0
0,0,0,2,0,0,0,4,2,0,2,0,0,0
0,0,0,2,0,0,0,3,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,4,4,0,0
0,0,0,2,0,0,0,10,0,1,13,0,0,0
0,0,0,3,1,0,0,8,1,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,5,0
0,0,0,2,0,3,0,0,3,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,8,2,0,0
0,0,0,2,0,1,4,9,11,6,8,1,0,22
0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,2,2,0,0,0,1,0,11,5,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,2,3,0,0,0,1,0,0,0,0,0,3
0,0,0,3,0,0,0,3,1,0,6,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,1,0,8,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,4,9,0,0,0,0,0
0,0,0,3,0,0,0,15,1,0,13,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,1,2,0,0,0,0,5
0,0,0,2,0,0,0,1,0,0,1,2,0,0
0,0,0,3,0,0,0,6,0,0,5,0,0,1
0,0,0,3,0,0,0,8,8,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,4,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,2,26,0,12,1,0,0
0,0,0,2,0,2,0,4,1,0,0,0,0,0
0,0,0,2,0,18,0,5,0,0,2,0,0,0
0,0,0,2,0,21,0,7,8,0,5,0,0,0
0,0,0,2,0,0,0,4,1,2,2,2,0,0
0,0,0,2,0,0,0,1,1,0,2,0,0,0
0,0,0,2,1,0,0,0,0,1,1,2,0,0
0,0,0,2,0,0,0,4,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,1,0,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,3,0,1,0
0,0,0,2,0,0,0,4,2,0,3,0,0,0
0,0,0,2,0,0,0,1,2,0,1,0,0,0
0,0,0,2,0,0,0,10,1,0,2,0,0,0
0,0,0,2,0,0,0,11,1,2,8,1,0,0
0,0,0,3,0,0,2,23,40,4,7,0,0,0
0,0,0,2,0,0,0,12,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,25,7,0,2,0,0,10
0,0,0,3,0,0,0,10,0,1,7,1,0,0
0,0,0,2,0,0,0,12,1,0,0,0,0,0
0,0,0,2,0,0,0,4,2,0,2,0,0,0
0,0,0,2,0,0,0,3,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,4,4,0,0
0,0,0,2,0,0,0,10,0,1,13,0,0,0
0,0,0,3,1,0,0,8,1,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,5,0
0,0,0,2,0,3,0,0,3,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,8,2,0,0
0,0,0,2,0,1,4,9,11,6,8,1,0,22
0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,2,2,0,0,0,1,0,11,5,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,2,3,0,0,0,1,0,0,0,0,0,3
0,0,0,3,0,0,0,3,1,0,6,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,1,0,8,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,4,9,0,0,0,0,0
0,0,0,3,0,0,0,15,1,0,13,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,1,2,0,0,0,0,5
0,0,0,2,0,0,0,1,0,0,1,2,0,0
0,0,0,3,0,0,0,6,0,0,5,0,0,1
0,0,0,3,0,0,0,8,8,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,4,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,2,26,0,12,1,0,0
0,0,0,2,0,2,0,4,1,0,0,0,0,0
0,0,0,2,0,18,0,5,0,0,2,0,0,0
0,0,0,2,0,21,0,7,8,0,5,0,0,0
0,0,0,2,0,0,0,4,1,2,2,2,0,0
0,0,0,2,0,0,0,1,1,0,2,0,0,0
0,0,0,2,1,0,0,0,0,1,1,2,0,0
0,0,0,2,0,0,0,4,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,1,0,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,3,0,1,0
0,0,0,2,0,0,0,4,2,0,3,0,0,0
0,0,0,2,0,0,0,1,2,0,1,0,0,0
0,0,0,2,0,0,0,10,1,0,2,0,0,0
0,0,0,2,0,0,0,11,1,2,8,1,0,0
0,0,0,3,0,0,2,23,40,4,7,0,0,0
0,0,0,2,0,0,0,12,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,25,7,0,2,0,0,10
0,0,0,3,0,0,0,10,0,1,7,1,0,0
0,0,0,2,0,0,0,12,1,0,0,0,0,0
0,0,0,2,0,0,0,4,2,0,2,0,0,0
0,0,0,2,0,0,0,3,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,4,4,0,0
0,0,0,2,0,0,0,10,0,1,13,0,0,0
0,0,0,3,1,0,0,8,1,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,5,0
0,0,0,2,0,3,0,0,3,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,8,2,0,0
0,0,0,2,0,1,4,9,11,6,8,1,0,22
0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,2,2,0,0,0,1,0,11,5,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,2,3,0,0,0,1,0,0,0,0,0,3
0,0,0,3,0,0,0,3,1,0,6,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,1,0,8,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,4,9,0,0,0,0,0
0,0,0,3,0,0,0,15,1,0,13,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,1,2,0,0,0,0,5
0,0,0,2,0,0,0,1,0,0,1,2,0,0
0,0,0,3,0,0,0,6,0,0,5,0,0,1
0,0,0,3,0,0,0,8,8,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,4,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,2,26,0,12,1,0,0
0,0,0,2,0,2,0,4,1,0,0,0,0,0
0,0,0,2,0,18,0,5,0,0,2,0,0,0
0,0,0,2,0,21,0,7,8,0,5,0,0,0
0,0,0,2,0,0,0,4,1,2,2,2,0,0
0,0,0,2,0,0,0,1,1,0,2,0,0,0
0,0,0,2,1,0,0,0,0,1,1,2,0,0
0,0,0,2,0,0,0,4,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,1,0,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,3,0,1,0
0,0,0,2,0,0,0,4,2,0,3,0,0,0
0,0,0,2,0,0,0,1,2,0,1,0,0,0
0,0,0,2,0,0,0,10,1,0,2,0,0,0
0,0,0,2,0,0,0,11,1,2,8,1,0,0
0,0,0,3,0,0,2,23,40,4,7,0,0,0
0,0,0,2,0,0,0,12,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,0,0
0,0,0,3,0,0,0,25,7,0,2,0,0,10
0,0,0,3,0,0,0,10,0,1,7,1,0,0
0,0,0,2,0,0,0,12,1,0,0,0,0,0
0,0,0,2,0,0,0,4,2,0,2,0,0,0
0,0,0,2,0,0,0,3,1,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,4,4,0,0
0,0,0,2,0,0,0,10,0,1,13,0,0,0
0,0,0,3,1,0,0,8,1,0,3,0,0,0
0,0,0,3,0,0,0,1,0,0,3,0,5,0
0,0,0,2,0,3,0,0,3,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,8,2,0,0
0,0,0,2,0,1,4,9,11,6,8,1,0,22
0,0,0,2,0,0,0,1,0,0,0,0,0,0
0,0,2,2,0,0,0,1,0,11,5,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,2,3,0,0,0,1,0,0,0,0,0,3
0,0,0,3,0,0,0,3,1,0,6,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,1,0,8,1,0,0,0,0,0
0,0,0,2,0,0,0,0,1,0,3,0,0,0
0,0,0,2,0,0,0,4,9,0,0,0,0,0
0,0,0,3,0,0,0,15,1,0,13,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,1,2,0,0,0,0,5
0,0,0,2,0,0,0,1,0,0,1,2,0,0
0,0,0,3,0,0,0,6,0,0,5,0,0,1
0,0,0,3,0,0,0,8,8,0,2,0,0,0
0,0,0,3,0,0,0,4,0,0,4,0,0,0
0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,2,26,0,12,1,0,0
0,0,0,2,0,2,0,4,1,0,0,0,0,0
0,0,0,2,0,18,0,5,0,0,2,0,0,0
0,0,0,2,0,21,0,7,8,0,5,0,0,0
0,0,0,2,0,0,0,4,1,2,2,2,0,0
0,0,0,2,0,0,0,1,1,0,2,0,0,0
0,0,0,2,1,0,0,0,0,1,1,2,0,0
0,0,0,2,0,0,0,4,2,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
